usia,pekerjaan,status_pernikahan,pendidikan,saldo_rekening,kategori_saldo,punya_kpr,punya_pinjaman,pernah_gagal_bayar,metode_penawaran,periode_penawaran,frekuensi_kontak,durasi_interaksi_detik,pernah_ditawari_sebelumnya,hasil_penawaran_sebelumnya,respon_penawaran_deposito,lama_nasabah_tahun,segmen_nasabah
29,pns,menikah,s1,86014232,tinggi,ya,tidak,tidak,telepon,Mei,2,271,tidak,tidak_ada,1,3,existing
52,karyawan,menikah,smp,6639328,menengah,tidak,tidak,tidak,whatsapp,Jul,4,165,ya,gagal,0,11,loyal
28,wiraswasta,menikah,,14051434,menengah,tidak,ya,tidak,whatsapp,Sep,4,122,ya,berhasil,1,6,loyal
63,pns,cerai,smp,8212385,menengah,tidak,tidak,tidak,whatsapp,Apr,2,178,tidak,tidak_ada,0,1,existing
38,karyawan,menikah,d3,21793242,menengah,ya,ya,tidak,whatsapp,Okt,4,126,tidak,tidak_ada,0,9,loyal
38,buruh,lajang,smp,51049676,tinggi,tidak,ya,tidak,whatsapp,Jan,3,217,tidak,tidak_ada,0,1,existing
22,wiraswasta,lajang,smp,103016890,tinggi,tidak,tidak,tidak,whatsapp,Okt,5,186,tidak,tidak_ada,0,0,baru
37,wiraswasta,menikah,d3,45914808,menengah,tidak,ya,ya,whatsapp,Mei,2,134,tidak,tidak_ada,0,11,loyal
54,wiraswasta,menikah,sma,12824870,menengah,tidak,tidak,tidak,telepon,Okt,2,156,tidak,tidak_ada,0,6,loyal
20,wiraswasta,menikah,sma,13397231,menengah,ya,ya,tidak,telepon,Sep,2,276,tidak,tidak_ada,0,0,baru
61,karyawan,menikah,smp,50828527,tinggi,ya,ya,tidak,email,Jan,1,52,ya,berhasil,0,7,loyal
50,wiraswasta,menikah,smp,47902240,menengah,tidak,ya,tidak,telepon,Sep,2,210,tidak,tidak_ada,0,15,loyal
26,karyawan,lajang,d3,13733592,menengah,ya,tidak,tidak,whatsapp,Mar,3,59,tidak,tidak_ada,0,1,existing
26,wiraswasta,lajang,sd,19828723,menengah,tidak,ya,ya,whatsapp,Des,2,207,tidak,tidak_ada,1,4,existing
21,pns,lajang,smp,30622233,menengah,tidak,tidak,tidak,telepon,Sep,2,91,tidak,tidak_ada,0,13,loyal
52,wiraswasta,lajang,smp,85015951,tinggi,tidak,tidak,tidak,whatsapp,Feb,1,320,tidak,tidak_ada,0,3,existing
34,tidak_bekerja,menikah,sd,814352,rendah,tidak,tidak,tidak,whatsapp,Feb,2,55,tidak,tidak_ada,0,1,existing
51,karyawan,menikah,smp,20778796,menengah,ya,ya,tidak,whatsapp,Mei,5,214,ya,gagal,1,5,loyal
41,wiraswasta,lajang,sma,36727233,menengah,tidak,tidak,tidak,telepon,Feb,4,248,ya,berhasil,0,14,loyal
49,buruh,menikah,smp,3990356,rendah,tidak,tidak,tidak,whatsapp,Jun,1,217,tidak,tidak_ada,1,4,existing
18,wiraswasta,menikah,s1,55313347,tinggi,tidak,tidak,tidak,email,Feb,5,80,tidak,tidak_ada,0,13,loyal
25,wiraswasta,cerai,sd,12723531,menengah,tidak,tidak,tidak,whatsapp,Feb,4,125,tidak,tidak_ada,0,1,existing
62,karyawan,menikah,s1,60891631,tinggi,tidak,ya,tidak,email,Mar,2,94,ya,gagal,0,5,loyal
40,wiraswasta,menikah,s1,14096874,menengah,ya,tidak,tidak,whatsapp,Sep,2,35,tidak,tidak_ada,0,6,loyal
64,karyawan,lajang,smp,24146065,menengah,tidak,ya,tidak,telepon,Mei,1,589,tidak,tidak_ada,0,5,loyal
57,tidak_bekerja,menikah,sd,4957245,rendah,ya,tidak,tidak,email,Des,1,104,tidak,tidak_ada,0,15,loyal
29,karyawan,lajang,sd,59163079,tinggi,tidak,tidak,tidak,telepon,Nov,3,408,tidak,tidak_ada,0,4,existing
29,buruh,lajang,sma,8817437,menengah,tidak,tidak,tidak,email,Des,2,142,tidak,tidak_ada,0,14,loyal
63,pns,cerai,d3,14523345,menengah,tidak,ya,tidak,whatsapp,Apr,5,356,tidak,tidak_ada,0,13,loyal
64,karyawan,menikah,sma,14964116,menengah,tidak,ya,tidak,whatsapp,Sep,4,285,ya,gagal,0,12,loyal
32,wiraswasta,lajang,sma,14083949,menengah,tidak,tidak,tidak,whatsapp,Apr,4,218,tidak,tidak_ada,0,3,existing
58,buruh,menikah,smp,6762651,menengah,tidak,ya,tidak,email,Jan,3,246,tidak,tidak_ada,0,4,existing
36,buruh,menikah,s1,2492265,rendah,tidak,tidak,tidak,whatsapp,Sep,2,112,tidak,tidak_ada,0,7,loyal
43,karyawan,lajang,sma,14496205,menengah,tidak,ya,tidak,whatsapp,Des,4,148,tidak,tidak_ada,0,1,existing
46,karyawan,lajang,s2,55152455,tinggi,ya,ya,ya,whatsapp,Jun,1,359,tidak,tidak_ada,0,5,loyal
39,karyawan,lajang,sma,49126924,menengah,ya,tidak,tidak,whatsapp,Jun,1,152,tidak,tidak_ada,0,0,baru
57,karyawan,lajang,sma,4388331,rendah,ya,ya,tidak,whatsapp,Agu,2,206,tidak,tidak_ada,0,2,existing
38,wiraswasta,menikah,s1,3555968,rendah,tidak,tidak,tidak,whatsapp,Des,3,350,tidak,tidak_ada,0,14,loyal
55,buruh,menikah,sma,4030703,rendah,tidak,tidak,tidak,whatsapp,Mar,4,72,tidak,tidak_ada,1,0,baru
37,wiraswasta,menikah,d3,3324400,rendah,tidak,ya,tidak,whatsapp,Agu,2,139,tidak,tidak_ada,0,4,existing
46,pns,menikah,sma,6476135,menengah,ya,ya,tidak,whatsapp,Des,4,184,tidak,tidak_ada,1,16,loyal
21,pelajar,lajang,s1,1989515,rendah,tidak,tidak,tidak,whatsapp,Des,2,48,ya,gagal,0,12,loyal
24,wiraswasta,lajang,s1,16129790,menengah,tidak,tidak,tidak,whatsapp,Jan,3,315,tidak,tidak_ada,0,1,existing
45,karyawan,cerai,sma,3385555,rendah,tidak,tidak,tidak,whatsapp,Agu,4,31,tidak,tidak_ada,1,3,existing
45,pns,menikah,sma,44897812,menengah,ya,ya,tidak,whatsapp,Agu,1,171,ya,berhasil,0,11,loyal
21,buruh,menikah,d3,3125508,rendah,tidak,tidak,tidak,whatsapp,Sep,2,58,tidak,tidak_ada,0,7,loyal
39,pns,menikah,s1,10897135,menengah,tidak,tidak,ya,whatsapp,Agu,4,126,tidak,tidak_ada,0,12,loyal
29,karyawan,menikah,sma,33076858,menengah,tidak,tidak,tidak,email,Des,7,79,ya,gagal,0,2,existing
62,karyawan,menikah,s1,27188009,menengah,tidak,tidak,tidak,telepon,Mar,2,223,ya,gagal,0,4,existing
20,karyawan,lajang,sma,11299996,menengah,tidak,ya,tidak,email,Jul,2,46,tidak,tidak_ada,0,11,loyal
39,wiraswasta,menikah,s1,12286906,menengah,ya,tidak,tidak,whatsapp,Agu,3,228,tidak,tidak_ada,0,5,loyal
61,pns,menikah,smp,32450395,menengah,tidak,ya,tidak,whatsapp,Sep,6,110,tidak,tidak_ada,0,9,loyal
19,karyawan,lajang,sma,7838606,menengah,tidak,tidak,tidak,whatsapp,Feb,5,295,tidak,tidak_ada,0,2,existing
41,buruh,menikah,sma,4676973,rendah,tidak,ya,tidak,email,Okt,2,79,tidak,tidak_ada,0,9,loyal
51,wiraswasta,menikah,d3,7050585,menengah,ya,tidak,tidak,whatsapp,Des,2,261,tidak,tidak_ada,0,2,existing
44,pns,menikah,sma,43459473,menengah,ya,ya,tidak,email,Feb,3,141,tidak,tidak_ada,0,12,loyal
58,tidak_bekerja,cerai,s1,16345509,menengah,tidak,tidak,tidak,email,Mar,2,292,ya,berhasil,0,7,loyal
18,karyawan,menikah,s1,13800397,menengah,ya,ya,tidak,email,Jan,1,103,ya,gagal,0,5,loyal
25,tidak_bekerja,menikah,s1,1812016,rendah,tidak,tidak,tidak,whatsapp,Nov,2,117,ya,gagal,1,0,baru
40,karyawan,lajang,smp,35029839,menengah,ya,ya,tidak,whatsapp,Jun,3,187,ya,berhasil,1,9,loyal
55,wiraswasta,menikah,sd,42823931,menengah,ya,ya,ya,telepon,Sep,2,328,tidak,tidak_ada,0,2,existing
23,buruh,lajang,sma,3157970,rendah,ya,ya,tidak,whatsapp,Jan,3,173,tidak,tidak_ada,0,1,existing
39,tidak_bekerja,menikah,s1,9385361,menengah,tidak,ya,tidak,email,Mar,1,58,tidak,tidak_ada,0,1,existing
42,wiraswasta,menikah,smp,13623790,menengah,tidak,tidak,tidak,email,Okt,5,137,tidak,tidak_ada,1,2,existing
35,wiraswasta,lajang,d3,5317534,menengah,tidak,ya,tidak,whatsapp,Des,4,92,ya,gagal,0,10,loyal
34,pns,lajang,sma,14771048,menengah,tidak,tidak,ya,whatsapp,Jun,2,190,ya,gagal,0,6,loyal
29,buruh,menikah,d3,11604684,menengah,tidak,tidak,tidak,telepon,Jan,2,121,ya,berhasil,1,6,loyal
23,karyawan,lajang,sma,13429271,menengah,ya,tidak,tidak,whatsapp,Mar,3,304,ya,gagal,1,6,loyal
43,buruh,lajang,d3,2245610,rendah,tidak,tidak,tidak,email,Mar,2,40,tidak,tidak_ada,0,5,loyal
44,wiraswasta,menikah,smp,14220096,menengah,tidak,ya,tidak,telepon,Feb,3,95,ya,gagal,0,7,loyal
25,wiraswasta,menikah,smp,56164727,tinggi,ya,tidak,tidak,whatsapp,Mei,1,219,tidak,tidak_ada,0,1,existing
36,wiraswasta,menikah,s1,25601670,menengah,ya,tidak,tidak,whatsapp,Agu,2,198,tidak,tidak_ada,0,3,existing
59,wiraswasta,cerai,sma,24214556,menengah,tidak,tidak,tidak,email,Mar,2,166,tidak,tidak_ada,0,1,existing
18,tidak_bekerja,menikah,s2,2262842,rendah,tidak,tidak,tidak,email,Jun,3,64,tidak,tidak_ada,0,13,loyal
46,wiraswasta,cerai,sd,63989000,tinggi,tidak,tidak,tidak,whatsapp,Apr,1,139,tidak,tidak_ada,1,20,loyal
62,tidak_bekerja,menikah,sma,10445649,menengah,tidak,tidak,tidak,whatsapp,Agu,2,29,tidak,tidak_ada,0,10,loyal
52,karyawan,menikah,sma,4847184,rendah,ya,tidak,ya,whatsapp,Apr,5,155,ya,gagal,1,0,baru
57,pns,menikah,s2,42066730,menengah,tidak,tidak,tidak,whatsapp,Feb,4,434,tidak,tidak_ada,0,6,loyal
31,buruh,menikah,s2,7553969,menengah,tidak,tidak,tidak,whatsapp,Okt,2,264,tidak,tidak_ada,0,0,baru
52,pns,menikah,sma,67616179,tinggi,ya,ya,tidak,telepon,Feb,1,233,ya,gagal,0,3,existing
62,wiraswasta,menikah,sma,23661593,menengah,tidak,ya,tidak,whatsapp,Des,5,129,tidak,tidak_ada,0,0,baru
37,wiraswasta,menikah,d3,61290609,tinggi,tidak,ya,tidak,telepon,Des,3,82,tidak,tidak_ada,0,5,loyal
30,buruh,menikah,s1,7182581,menengah,tidak,ya,tidak,whatsapp,Des,1,72,tidak,tidak_ada,0,5,loyal
55,buruh,lajang,d3,2657346,rendah,tidak,tidak,tidak,telepon,Feb,5,386,tidak,tidak_ada,0,2,existing
63,karyawan,menikah,s1,47484888,menengah,tidak,tidak,tidak,whatsapp,Sep,1,92,ya,gagal,0,13,loyal
25,buruh,menikah,sd,8841981,menengah,tidak,ya,tidak,email,Jan,3,144,ya,gagal,0,12,loyal
60,wiraswasta,menikah,d3,13001175,menengah,tidak,ya,tidak,email,Sep,4,110,tidak,tidak_ada,0,13,loyal
37,karyawan,lajang,d3,18933912,menengah,tidak,ya,tidak,whatsapp,Feb,1,116,ya,berhasil,1,7,loyal
50,buruh,menikah,smp,33310053,menengah,ya,tidak,tidak,whatsapp,Nov,1,266,ya,gagal,0,0,baru
43,wiraswasta,cerai,s1,12988267,menengah,tidak,tidak,tidak,telepon,Jul,3,340,tidak,tidak_ada,0,16,loyal
56,buruh,lajang,s1,11691472,menengah,ya,ya,tidak,whatsapp,Feb,3,22,tidak,tidak_ada,1,16,loyal
38,karyawan,cerai,s1,5509261,menengah,ya,tidak,tidak,telepon,Mei,3,181,tidak,tidak_ada,0,7,loyal
59,karyawan,menikah,sma,10941421,menengah,ya,tidak,tidak,whatsapp,Nov,2,331,tidak,tidak_ada,0,16,loyal
60,wiraswasta,cerai,sma,56009962,tinggi,tidak,tidak,tidak,whatsapp,Okt,3,317,ya,gagal,0,3,existing
58,karyawan,menikah,sma,22819835,menengah,tidak,tidak,tidak,telepon,Okt,4,335,tidak,tidak_ada,1,7,loyal
26,pns,menikah,,11991872,menengah,ya,tidak,tidak,whatsapp,Apr,4,278,tidak,tidak_ada,0,10,loyal
41,karyawan,menikah,s1,70639693,tinggi,tidak,tidak,tidak,whatsapp,Mei,3,229,tidak,tidak_ada,0,6,loyal
54,wiraswasta,lajang,smp,9365794,menengah,ya,ya,tidak,whatsapp,Mar,2,216,tidak,tidak_ada,0,14,loyal
58,karyawan,lajang,s1,15882783,menengah,tidak,tidak,tidak,telepon,Jun,2,180,ya,berhasil,0,7,loyal
34,karyawan,menikah,sma,21930927,menengah,tidak,tidak,tidak,email,Okt,1,87,ya,gagal,0,2,existing
41,buruh,lajang,sma,2795858,rendah,tidak,tidak,tidak,email,Apr,2,126,tidak,tidak_ada,0,13,loyal
38,karyawan,menikah,sd,23339094,menengah,tidak,ya,tidak,whatsapp,Sep,4,20,tidak,tidak_ada,0,10,loyal
56,pelajar,cerai,smp,4584725,rendah,tidak,tidak,tidak,telepon,Feb,5,162,ya,gagal,1,7,loyal
58,tidak_bekerja,menikah,sma,3645433,rendah,tidak,tidak,tidak,telepon,Mei,2,435,tidak,tidak_ada,0,6,loyal
56,pns,menikah,d3,11355671,menengah,tidak,tidak,tidak,whatsapp,Sep,1,179,ya,berhasil,1,10,loyal
30,buruh,menikah,s1,3844180,rendah,tidak,ya,tidak,telepon,Okt,4,150,ya,gagal,0,9,loyal
28,karyawan,menikah,sd,1174247,rendah,tidak,tidak,tidak,whatsapp,Sep,5,125,ya,berhasil,1,3,existing
63,karyawan,lajang,smp,46870333,menengah,ya,ya,tidak,telepon,Agu,2,946,tidak,tidak_ada,0,11,loyal
36,tidak_bekerja,menikah,d3,4083540,rendah,tidak,tidak,tidak,whatsapp,Mei,1,134,ya,gagal,0,14,loyal
28,pns,menikah,s1,12554178,menengah,ya,ya,tidak,whatsapp,Jun,1,161,ya,gagal,0,2,existing
30,pelajar,menikah,sma,667936,rendah,tidak,ya,tidak,email,Mei,1,163,ya,gagal,0,6,loyal
63,pns,menikah,smp,50861440,tinggi,tidak,tidak,tidak,whatsapp,Des,2,326,tidak,tidak_ada,1,3,existing
62,wiraswasta,menikah,smp,16368978,menengah,tidak,ya,ya,whatsapp,Feb,1,82,ya,gagal,0,2,existing
18,karyawan,menikah,smp,18967223,menengah,tidak,tidak,tidak,email,Jun,3,25,ya,gagal,0,1,existing
57,buruh,menikah,sd,6541719,menengah,tidak,ya,tidak,email,Des,2,69,ya,berhasil,0,13,loyal
61,pns,menikah,sma,5652496,menengah,ya,ya,tidak,whatsapp,Mei,1,240,tidak,tidak_ada,1,2,existing
36,wiraswasta,lajang,s1,69225979,tinggi,tidak,tidak,tidak,email,Jun,2,125,tidak,tidak_ada,0,9,loyal
29,tidak_bekerja,menikah,smp,7804175,menengah,ya,ya,tidak,whatsapp,Mei,1,102,ya,gagal,0,5,loyal
25,karyawan,lajang,s1,25018214,menengah,tidak,tidak,tidak,whatsapp,Feb,2,63,tidak,tidak_ada,0,6,loyal
25,karyawan,menikah,sma,16698792,menengah,tidak,tidak,tidak,whatsapp,Jan,2,307,ya,gagal,0,7,loyal
62,buruh,menikah,s1,2651171,rendah,tidak,ya,tidak,whatsapp,Des,2,135,tidak,tidak_ada,0,8,loyal
29,buruh,menikah,s1,9767933,menengah,tidak,tidak,tidak,whatsapp,Mar,1,182,ya,berhasil,0,12,loyal
50,wiraswasta,menikah,s1,205337474,tinggi,ya,ya,ya,email,Des,3,239,tidak,tidak_ada,0,2,existing
62,karyawan,menikah,d3,20853189,menengah,ya,ya,tidak,whatsapp,Apr,6,316,tidak,tidak_ada,1,4,existing
43,karyawan,menikah,s1,17622998,menengah,ya,ya,tidak,telepon,Sep,1,390,ya,gagal,0,1,existing
56,pns,cerai,sma,8137260,menengah,ya,ya,tidak,telepon,Des,1,101,ya,gagal,0,10,loyal
45,wiraswasta,lajang,smp,2712749,rendah,tidak,tidak,tidak,telepon,Okt,1,412,tidak,tidak_ada,0,4,existing
22,buruh,lajang,s1,3332955,rendah,ya,ya,tidak,email,Jun,1,25,ya,berhasil,0,12,loyal
25,tidak_bekerja,menikah,d3,10649098,menengah,tidak,tidak,tidak,whatsapp,Apr,3,315,tidak,tidak_ada,0,11,loyal
42,buruh,cerai,smp,16631215,menengah,tidak,tidak,tidak,whatsapp,Jun,5,70,tidak,tidak_ada,0,0,baru
44,wiraswasta,menikah,s1,19932913,menengah,tidak,tidak,tidak,whatsapp,Feb,1,264,ya,gagal,0,1,existing
63,buruh,menikah,sma,9835291,menengah,ya,ya,tidak,email,Feb,1,138,ya,gagal,0,8,loyal
40,karyawan,lajang,sma,5041833,menengah,tidak,tidak,tidak,whatsapp,Jun,2,289,tidak,tidak_ada,0,10,loyal
47,karyawan,menikah,sma,17980726,menengah,tidak,tidak,tidak,whatsapp,Okt,4,207,tidak,tidak_ada,0,4,existing
62,karyawan,menikah,sma,11716483,menengah,ya,tidak,tidak,telepon,Mei,4,231,ya,gagal,0,2,existing
64,wiraswasta,menikah,sma,27258227,menengah,tidak,tidak,tidak,whatsapp,Apr,1,144,tidak,tidak_ada,1,1,existing
40,tidak_bekerja,menikah,sma,2630324,rendah,tidak,ya,tidak,email,Sep,2,142,tidak,tidak_ada,0,3,existing
64,karyawan,lajang,s1,14693845,menengah,tidak,tidak,tidak,telepon,Jun,2,540,tidak,tidak_ada,0,2,existing
37,karyawan,menikah,s1,35771553,menengah,tidak,tidak,tidak,whatsapp,Jun,3,323,tidak,tidak_ada,1,4,existing
35,tidak_bekerja,lajang,sd,18628031,menengah,tidak,tidak,tidak,whatsapp,Okt,4,208,tidak,tidak_ada,0,6,loyal
35,karyawan,cerai,sma,12238992,menengah,tidak,tidak,tidak,whatsapp,Feb,1,188,ya,berhasil,0,10,loyal
19,buruh,menikah,sd,13243364,menengah,tidak,tidak,tidak,whatsapp,Agu,2,16,tidak,tidak_ada,0,14,loyal
21,karyawan,lajang,s1,3895249,rendah,tidak,tidak,tidak,email,Mar,1,104,ya,berhasil,0,11,loyal
47,karyawan,menikah,s1,14972003,menengah,ya,ya,tidak,whatsapp,Jun,4,204,tidak,tidak_ada,0,9,loyal
50,tidak_bekerja,cerai,sma,1165420,rendah,tidak,tidak,tidak,whatsapp,Sep,2,287,ya,gagal,0,12,loyal
53,karyawan,lajang,s1,13040857,menengah,tidak,tidak,tidak,telepon,Okt,2,246,tidak,tidak_ada,0,16,loyal
35,wiraswasta,menikah,d3,39363379,menengah,ya,ya,tidak,email,Jan,1,9,ya,gagal,0,2,existing
54,karyawan,cerai,sma,47734166,menengah,tidak,tidak,tidak,whatsapp,Nov,4,102,tidak,tidak_ada,0,9,loyal
36,karyawan,menikah,sma,7157495,menengah,ya,tidak,tidak,whatsapp,Mar,1,362,ya,gagal,0,0,baru
64,karyawan,lajang,sma,28874074,menengah,ya,ya,tidak,whatsapp,Agu,3,406,ya,gagal,0,20,loyal
45,karyawan,lajang,sma,48199932,menengah,ya,tidak,tidak,email,Feb,3,359,tidak,tidak_ada,0,14,loyal
57,karyawan,cerai,sma,47763869,menengah,tidak,ya,tidak,whatsapp,Jun,4,164,tidak,tidak_ada,0,4,existing
37,pns,lajang,smp,19837211,menengah,tidak,tidak,tidak,whatsapp,Feb,4,355,tidak,tidak_ada,0,8,loyal
50,wiraswasta,menikah,smp,12559429,menengah,tidak,ya,tidak,email,Agu,2,108,tidak,tidak_ada,0,7,loyal
29,karyawan,menikah,sd,7127649,menengah,tidak,tidak,tidak,whatsapp,Apr,2,182,ya,berhasil,1,14,loyal
32,wiraswasta,menikah,sma,7992911,menengah,tidak,tidak,tidak,email,Mei,1,86,ya,gagal,1,6,loyal
58,tidak_bekerja,menikah,s2,3928142,rendah,tidak,ya,tidak,email,Jan,4,225,tidak,tidak_ada,0,1,existing
56,tidak_bekerja,menikah,s1,1890960,rendah,tidak,tidak,tidak,whatsapp,Nov,6,224,tidak,tidak_ada,0,6,loyal
19,pns,lajang,d3,21999589,menengah,tidak,ya,tidak,telepon,Apr,5,906,tidak,tidak_ada,0,1,existing
46,buruh,menikah,s1,7110007,menengah,tidak,tidak,tidak,email,Sep,3,233,tidak,tidak_ada,0,13,loyal
58,karyawan,menikah,sma,21355989,menengah,ya,ya,tidak,email,Okt,6,85,tidak,tidak_ada,0,2,existing
27,wiraswasta,menikah,sma,2767143,rendah,tidak,ya,tidak,whatsapp,Jul,1,83,ya,berhasil,0,4,existing
19,wiraswasta,menikah,sma,16060650,menengah,tidak,tidak,tidak,whatsapp,Sep,2,102,tidak,tidak_ada,0,1,existing
28,pelajar,lajang,smp,1344098,rendah,tidak,tidak,tidak,whatsapp,Mei,3,44,tidak,tidak_ada,1,4,existing
30,wiraswasta,menikah,d3,158052944,tinggi,ya,ya,tidak,whatsapp,Des,4,57,tidak,tidak_ada,1,18,loyal
27,wiraswasta,menikah,smp,4846921,rendah,tidak,tidak,tidak,whatsapp,Jan,2,55,tidak,tidak_ada,0,17,loyal
31,tidak_bekerja,menikah,s1,2519480,rendah,tidak,ya,tidak,whatsapp,Apr,1,104,ya,gagal,0,7,loyal
35,buruh,menikah,smp,7125043,menengah,tidak,ya,tidak,email,Jun,1,293,ya,gagal,0,9,loyal
26,wiraswasta,menikah,smp,6504578,menengah,tidak,tidak,tidak,whatsapp,Mei,2,273,tidak,tidak_ada,1,4,existing
56,pns,menikah,s1,91884013,tinggi,tidak,tidak,tidak,telepon,Des,3,207,tidak,tidak_ada,1,2,existing
45,karyawan,menikah,smp,92044488,tinggi,tidak,ya,tidak,email,Nov,4,105,tidak,tidak_ada,0,3,existing
20,karyawan,lajang,sma,5421676,menengah,tidak,tidak,tidak,whatsapp,Agu,2,149,tidak,tidak_ada,0,0,baru
37,karyawan,menikah,sd,8565705,menengah,ya,tidak,tidak,whatsapp,Jan,2,358,tidak,tidak_ada,0,6,loyal
23,wiraswasta,lajang,smp,141423388,tinggi,tidak,tidak,tidak,email,Jan,1,264,tidak,tidak_ada,0,1,existing
44,karyawan,lajang,d3,55341567,tinggi,tidak,ya,tidak,telepon,Okt,2,208,tidak,tidak_ada,0,4,existing
19,buruh,lajang,d3,3168045,rendah,tidak,tidak,tidak,whatsapp,Okt,5,69,tidak,tidak_ada,0,14,loyal
46,karyawan,menikah,smp,23739165,menengah,ya,ya,tidak,whatsapp,Jun,4,435,tidak,tidak_ada,0,5,loyal
55,wiraswasta,menikah,s1,5940051,menengah,tidak,tidak,tidak,telepon,Feb,2,329,tidak,tidak_ada,0,5,loyal
20,karyawan,lajang,d3,84778798,tinggi,tidak,tidak,tidak,whatsapp,Apr,1,769,ya,gagal,0,7,loyal
33,karyawan,menikah,sma,14863400,menengah,tidak,ya,tidak,whatsapp,Feb,3,9,tidak,tidak_ada,0,4,existing
47,buruh,menikah,sma,9560747,menengah,tidak,tidak,tidak,whatsapp,Apr,2,180,tidak,tidak_ada,0,0,baru
57,wiraswasta,cerai,s1,9509285,menengah,tidak,ya,tidak,whatsapp,Sep,3,268,tidak,tidak_ada,0,12,loyal
19,tidak_bekerja,lajang,d3,928774,rendah,tidak,ya,ya,email,Jan,4,35,ya,gagal,0,3,existing
34,tidak_bekerja,menikah,smp,4717527,rendah,tidak,ya,ya,email,Feb,1,21,ya,gagal,0,1,existing
58,wiraswasta,lajang,sma,166154173,tinggi,tidak,tidak,tidak,whatsapp,Mar,3,157,tidak,tidak_ada,1,1,existing
29,karyawan,menikah,smp,8145804,menengah,tidak,tidak,tidak,telepon,Apr,4,364,tidak,tidak_ada,0,10,loyal
52,buruh,menikah,sma,2875355,rendah,ya,ya,tidak,whatsapp,Agu,3,118,tidak,tidak_ada,0,0,baru
60,tidak_bekerja,menikah,sma,5417226,menengah,tidak,ya,tidak,whatsapp,Sep,2,19,tidak,tidak_ada,0,8,loyal
18,pelajar,lajang,s2,4121879,rendah,tidak,tidak,tidak,whatsapp,Nov,1,17,ya,gagal,0,4,existing
62,buruh,menikah,s1,4145873,rendah,tidak,ya,tidak,whatsapp,Feb,1,79,ya,gagal,0,7,loyal
32,buruh,lajang,s1,4142463,rendah,tidak,tidak,tidak,whatsapp,Mar,1,40,tidak,tidak_ada,0,16,loyal
43,karyawan,menikah,sma,33131921,menengah,tidak,tidak,tidak,whatsapp,Jun,5,348,tidak,tidak_ada,1,0,baru
54,wiraswasta,menikah,sd,60539266,tinggi,ya,ya,tidak,whatsapp,Feb,1,83,ya,gagal,1,9,loyal
38,buruh,menikah,sd,4324374,rendah,tidak,tidak,tidak,whatsapp,Mar,1,94,tidak,tidak_ada,0,15,loyal
48,pns,menikah,sma,43674756,menengah,ya,ya,tidak,whatsapp,Okt,4,225,tidak,tidak_ada,0,3,existing
42,karyawan,menikah,sma,24832813,menengah,tidak,ya,tidak,whatsapp,Jul,1,103,ya,gagal,1,1,existing
40,karyawan,menikah,smp,15315532,menengah,tidak,tidak,tidak,telepon,Nov,2,423,tidak,tidak_ada,0,5,loyal
41,karyawan,menikah,sd,34382788,menengah,ya,ya,tidak,whatsapp,Apr,1,105,ya,berhasil,1,17,loyal
55,karyawan,menikah,s1,35043511,menengah,ya,tidak,tidak,email,Mei,2,107,tidak,tidak_ada,0,8,loyal
45,tidak_bekerja,menikah,sma,1385486,rendah,tidak,tidak,tidak,whatsapp,Des,1,30,ya,gagal,0,17,loyal
38,karyawan,lajang,smp,56091464,tinggi,tidak,tidak,tidak,whatsapp,Des,2,624,tidak,tidak_ada,0,3,existing
60,karyawan,menikah,s1,25174351,menengah,tidak,ya,tidak,telepon,Mei,3,164,tidak,tidak_ada,0,11,loyal
35,karyawan,menikah,s1,49165360,menengah,tidak,tidak,tidak,whatsapp,Apr,2,513,tidak,tidak_ada,0,3,existing
53,wiraswasta,lajang,sma,24557283,menengah,ya,tidak,tidak,telepon,Jun,2,94,ya,gagal,0,7,loyal
52,wiraswasta,lajang,smp,29579985,menengah,ya,tidak,tidak,whatsapp,Des,3,198,tidak,tidak_ada,0,16,loyal
62,karyawan,lajang,s1,26896137,menengah,tidak,ya,tidak,whatsapp,Mar,2,161,ya,gagal,0,1,existing
26,karyawan,menikah,sma,20850620,menengah,ya,ya,tidak,whatsapp,Sep,3,356,ya,gagal,0,3,existing
55,karyawan,menikah,s1,69673889,tinggi,tidak,tidak,tidak,whatsapp,Jul,3,139,ya,gagal,1,4,existing
47,wiraswasta,menikah,sd,35010155,menengah,tidak,tidak,ya,whatsapp,Mei,4,133,ya,gagal,0,0,baru
61,karyawan,menikah,sma,18152817,menengah,tidak,tidak,tidak,telepon,Jun,3,71,tidak,tidak_ada,0,2,existing
51,tidak_bekerja,menikah,smp,9376308,menengah,ya,tidak,tidak,whatsapp,Jul,2,428,tidak,tidak_ada,0,0,baru
49,wiraswasta,menikah,d3,34467768,menengah,tidak,tidak,tidak,whatsapp,Jun,2,551,tidak,tidak_ada,0,3,existing
20,karyawan,lajang,s2,167831558,tinggi,tidak,tidak,tidak,whatsapp,Jun,1,108,ya,gagal,1,0,baru
20,pns,lajang,sma,16380889,menengah,tidak,tidak,tidak,whatsapp,Jan,3,88,ya,berhasil,1,0,baru
45,karyawan,menikah,smp,48533814,menengah,tidak,ya,tidak,whatsapp,Jan,4,16,ya,gagal,0,2,existing
61,pns,menikah,sma,41665844,menengah,tidak,tidak,tidak,telepon,Jun,2,275,tidak,tidak_ada,0,4,existing
